id,initialX,initialY,finalX,finalY
177959825,60,95,68.0,96.0
177959827,68,96,71.0,86.0
177959842,32,4,29.0,14.0
177959829,71,86,74.0,89.0
177959843,29,14,26.0,11.0
177959845,26,11,27.0,16.0
177959847,27,16,22.0,0.0
177959832,78,100,100.0,100.0
177959833,66,100,82.0,89.0
177959834,82,89,82.0,79.0
177959850,18,21,16.0,18.0
177959836,84,82,73.0,75.0
177961241,16,18,27.0,25.0
177959852,27,25,32.0,34.0
177959838,68,66,67.0,60.0
177959854,33,40,28.0,26.0
177959856,28,26,30.0,65.0
177959857,30,65,49.0,74.0
177959858,49,74,33.0,97.0
177959844,67,3,93.0,14.0
177959846,93,14,89.0,59.0
177959863,11,41,8.0,42.0
177959851,89,59,92.0,58.0
177959853,92,58,100.0,100.0
177959855,100,64,100.0,100.0
177959864,0,0,45.0,53.0
177959860,55,47,75.0,34.0
177959861,75,34,80.0,30.0
177959866,20,70,4.0,51.0
177959868,4,51,20.0,87.0
177959869,20,87,46.0,16.0
177959870,46,16,29.0,10.0
177959871,29,10,40.0,34.0
177959873,40,34,69.0,44.0
177959865,31,56,34.0,51.0
177959876,69,44,66.0,49.0
177959867,34,51,46.0,67.0
177959872,46,67,44.0,69.0
177959874,44,69,45.0,69.0
177959877,56,31,55.0,31.0
177959875,45,69,44.0,69.0
177959879,52,49,66.0,29.0
177959880,66,29,89.0,15.0
177959883,89,15,0.0,0.0
177959878,25,63,66.0,6.0
177959882,66,6,58.0,16.0
177959884,58,16,68.0,33.0
177959887,32,67,46.0,100.0
177959885,54,0,100.0,100.0
177959886,50,0,65.0,18.0
177959888,65,18,64.0,4.0
177959889,64,4,59.0,12.0
177959890,59,12,54.0,60.0
177959891,54,60,55.0,80.0
177959892,55,80,51.0,77.0
177959896,51,77,51.0,28.0
177959899,51,28,71.0,6.0
177959901,71,6,67.0,24.0
177959902,67,24,93.0,3.0
177959903,93,3,67.0,21.0
177961243,7,97,33.0,79.0
177959894,33,79,39.0,75.0
177961244,67,21,61.0,25.0
177959895,39,75,49.0,69.0
177959898,49,69,62.0,88.0
177959900,62,88,57.0,94.0
177959908,38,12,43.0,6.0
177959909,43,6,47.0,3.0
177961245,57,94,53.0,97.0
177959910,47,3,87.0,9.0
177959911,87,9,97.0,0.0
177959907,13,91,3.0,100.0
177959912,91,0,100.0,100.0
177959913,97,0,91.0,47.0
177959917,91,47,92.0,47.0
177961246,9,53,8.0,53.0
177959914,8,53,14.0,65.0
177959915,14,65,26.0,63.0
177959918,74,37,74.0,38.0
177959916,26,63,26.0,62.0
177959921,74,38,74.0,37.0
177959919,26,58,34.0,75.0
177959920,34,75,47.0,66.0
177959925,53,34,64.0,38.0
177959922,36,62,47.0,57.0
177961247,64,38,53.0,43.0
177959929,53,43,48.0,33.0
177959930,48,33,55.0,26.0
177959931,55,26,83.0,5.0
177959935,83,5,82.0,11.0
177961248,17,95,18.0,89.0
177959940,82,11,100.0,73.0
177959944,100,73,100.0,100.0
177959924,0,0,26.0,83.0
177959926,26,83,27.0,44.0
177959927,27,44,34.0,41.0
177959928,34,41,79.0,23.0
177959947,21,77,26.0,96.0
177959949,26,96,34.0,95.0
177959933,66,5,64.0,33.0
177959934,64,33,65.0,22.0
177959937,65,22,52.0,10.0
177959951,35,78,48.0,90.0
177959938,52,10,71.0,8.0
177959939,71,8,59.0,26.0
177959941,59,26,71.0,32.0
177959952,29,68,31.0,66.0
177959943,71,32,69.0,34.0
177959954,31,66,29.0,68.0
177959946,71,29,72.0,40.0
177959948,72,40,0.0,0.0
177959958,16,53,42.0,63.0
177959950,58,37,74.0,100.0
177959961,26,0,100.0,100.0
177959962,26,0,61.0,22.0
177959964,61,22,45.0,30.0
177959953,39,78,55.0,70.0
177959966,45,30,50.0,44.0
177959967,50,44,32.0,54.0
177959968,32,54,17.0,59.0
177959972,17,59,58.0,8.0
177959973,58,8,62.0,0.0
177959955,42,92,38.0,100.0
177959974,60,0,100.0,100.0
177959956,38,100,36.0,91.0
177959957,36,91,20.0,85.0
177959959,20,85,10.0,46.0
177959960,10,46,31.0,18.0
177959963,31,18,51.0,16.0
177959965,51,16,60.0,36.0
177959969,60,36,65.0,54.0
177959976,40,64,35.0,46.0
177959970,65,54,69.0,46.0
177959978,31,54,35.0,42.0
177959971,69,46,65.0,58.0
177959980,35,42,13.0,47.0
